A,B,C,D,E
-3.1667,1.8333,0.2444,-0.0244,3.8667
1.5833,4.4167,-1.3556,-0.5732,1.8
-5.4167,-3.3333,0.3333,0.6098,5.2667
1.6667,-5.25,-0.3111,622,0.2
0.5,-3,-1.1778,0.2073,-0.9333
-5.0833,-4.9167,1.5333,0.5732,3.3333
2.5,6.5,1.6222,-0.4024,0.7333
-5,-2,-0.9111,-561,0.0667
-4.3333,-0.9167,0.1333,0.0854,-3.3333
-0.4167,5.1667,-0.4222,0.2927,5.6667
-1.9167,-1.8333,1.3778,-0.2317,-0.5333
3,4.3333,-0.0444,-0.6341,-3.3333
-2.9167,-4.6667,-1.0444,-0.2439,-1.8
2,2.8333,-0.1778,-0.2195,1
-1.5833,2.1667,-0.8444,0.7073,-2.6
-1.5833,5.25,1.1556,0.5732,-3.3333
-6,3.3333,0.4667,-0.7683,1.2667
1.3333,-2.75,0.9778,0.7683,-3.4667
-3.5,-1.5833,-0.8667,-0.8659,0.4
5.1667,4.0833,0.0222,0.3537,5.7333
-0.0833,4.5833,-0.4222,-0.5366,-2.5333
-4.6667,-5.6667,-0.3778,-0.2317,-2.4
-3.1667,0.5833,1.2222,0.2927,-0.3333
2.75,-5.25,-1.4222,-0.2317,2.8
-1.5,1.5,1.0889,-439,5
-3.8333,3.25,0.8222,0.3049,-4.8
0,4.4167,0.9111,0.6951,2.8
-5.3333,2.0833,-1.4667,-0.7683,-3.3333
5.75,-1.75,1.3333,-0.8659,4.2
-0.75,-4.5833,1.4,0.7073,0.6667
-0.5,-3.0833,1.7556,0.2317,-3.8667
3,-2.5833,0.0889,-0.5122,1.0667
